prod_id,qty_order,revenue,price,date_order,day_week,month,C1,C2,C3,C5,C6,qty_lag_1,Y_pred,Y_test
P1,24.0,33655.5,1402.3125,2015-03-16,1.0,1.0,,1362.5,,1424.05,1499.0,48.0,15.3717051665,24.0
P1,7.0,9947.0,1421.0,2015-03-22,3.0,1.0,1499.0,1499.0,1499.0,1424.05,,12.0,15.5765516185,7.0
P1,7.0,10493.0,1499.0,2015-03-29,3.0,1.0,,,,1424.05,,15.0,16.4315628967,7.0
P1,11.0,16321.54,1483.77636364,2015-03-31,5.0,1.0,,,,1424.05,,12.0,16.2646862199,11.0
P1,8.0,11842.1,1480.2625,2015-04-04,2.0,2.0,1499.0,1499.0,1499.0,1424.05,,6.0,16.2261683605,8.0
P1,13.0,19337.0,1487.46153846,2015-04-07,5.0,2.0,1499.0,1499.0,1499.0,1424.05,,4.0,16.3050819384,13.0
P1,12.0,17488.0,1457.33333333,2015-04-10,0.0,2.0,1499.0,1499.0,1499.0,1424.05,1499.0,16.0,15.9748261028,12.0
P1,14.0,19446.1,1389.00714286,2015-04-19,3.0,2.0,1214.1,1214.1,1214.1,1319.12,,2.0,15.2258560586,14.0
P1,13.0,18187.0,1399.0,2015-04-26,3.0,2.0,1214.1,1214.1,1214.1,1319.12,1349.0,11.0,15.3353945913,13.0
P1,30.0,43220.1,1440.67,2015-05-05,5.0,3.0,1899.0,1899.0,,1499.0,,17.0,15.7921679242,30.0
P1,15.0,22076.17,1471.74466667,2015-05-08,0.0,3.0,1899.0,1899.0,,,,22.0,16.1327985712,15.0
P1,9.0,13282.17,1475.79666667,2015-05-09,2.0,3.0,1899.0,1899.0,,,,15.0,16.1772153109,9.0
P1,10.0,14490.0,1449.0,2015-05-10,3.0,3.0,1899.0,1899.0,,,,9.0,15.883478744,10.0
P1,43.0,58128.45,1351.8244186,2015-05-15,0.0,3.0,1899.0,1899.0,,,,50.0,14.8182708202,43.0
P1,17.0,23673.93,1392.58411765,2015-05-22,0.0,3.0,1349.1,1349.1,1499.0,1499.0,1499.0,25.0,15.2650657225,17.0
